date,close_price,volume
1/1/2022,47686.8125,24582667004
1/2/2022,47345.21875,27951569547
1/3/2022,46458.11719,33071628362
1/4/2022,45897.57422,42494677905
1/5/2022,43569.00391,36851084859
1/6/2022,43160.92969,30208048289
1/7/2022,41557.90234,84196607520
1/8/2022,41733.94141,28066355845
1/9/2022,41911.60156,21294384372
1/10/2022,41821.26172,32104232331
1/11/2022,42735.85547,26327648900
1/12/2022,43949.10156,33499938689
1/13/2022,42591.57031,47691135082
1/14/2022,43099.69922,23577403399
1/15/2022,43177.39844,18371348298
1/16/2022,43113.87891,17902097845
1/17/2022,42250.55078,21690904261
1/18/2022,42375.63281,22417209227
1/19/2022,41744.32813,23091543258
1/20/2022,40680.41797,20382033940
1/21/2022,36457.31641,43011992031
1/22/2022,35030.25,39714385405
1/23/2022,36276.80469,26017975951
1/24/2022,36654.32813,41856658597
1/25/2022,36954.00391,26428189594
1/26/2022,36852.12109,31324598034
1/27/2022,37138.23438,25041426629
1/28/2022,37784.33203,22238830523
1/29/2022,38138.17969,17194183075
1/30/2022,37917.60156,14643548444
1/31/2022,38483.125,20734730465
2/1/2022,38743.27344,20288500328
2/2/2022,36952.98438,19155189416
2/3/2022,37154.60156,18591534769
2/4/2022,41500.875,29412210792
2/5/2022,41441.16406,19652846215
2/6/2022,42412.43359,16142097334
2/7/2022,43840.28516,28641855926
2/8/2022,44118.44531,33079398868
2/9/2022,44338.79688,23245887300
2/10/2022,43565.11328,32142048537
2/11/2022,42407.9375,26954925781
2/12/2022,42244.46875,18152390304
2/13/2022,42197.51563,14741589015
2/14/2022,42586.91797,20827783012
2/15/2022,44575.20313,22721659051
2/16/2022,43961.85938,19792547657
2/17/2022,40538.01172,26246662813
2/18/2022,40030.97656,23310007704
2/19/2022,40122.15625,13736557863
2/20/2022,38431.37891,18340576452
2/21/2022,37075.28125,29280402798
2/22/2022,38286.02734,25493150450
2/23/2022,37296.57031,21849073843
2/24/2022,38332.60938,46383802093
2/25/2022,39214.21875,26545599159
2/26/2022,39105.14844,17467554129
2/27/2022,37709.78516,23450127612
2/28/2022,43193.23438,35690014104
3/1/2022,44354.63672,32479047645
3/2/2022,43924.11719,29183112630
3/3/2022,42451.78906,24967782593
3/4/2022,39137.60547,28516271427
3/5/2022,39400.58594,16975917450
3/6/2022,38419.98438,19745229902
3/7/2022,38062.03906,28546143503
3/8/2022,38737.26953,25776583476
3/9/2022,41982.92578,32284121034
3/10/2022,39437.46094,31078064711
3/11/2022,38794.97266,26364890465
3/12/2022,38904.01172,14616450657
3/13/2022,37849.66406,17300745310
3/14/2022,39666.75391,24322159070
3/15/2022,39338.78516,23934000868
3/16/2022,41143.92969,39616916192
3/17/2022,40951.37891,22009601093
3/18/2022,41801.15625,34421564942
3/19/2022,42190.65234,19664853187
3/20/2022,41247.82422,20127946682
3/21/2022,41077.99609,24615543271
3/22/2022,42358.80859,32004652376
3/23/2022,42892.95703,25242943069
3/24/2022,43960.93359,31042992291
3/25/2022,44348.73047,30574413034
3/26/2022,44500.82813,16950455995
3/27/2022,46820.49219,28160889722
3/28/2022,47128.00391,36362175703
3/29/2022,47465.73047,31397059069
3/30/2022,47062.66406,29333883962
3/31/2022,45538.67578,33327427106
4/1/2022,46281.64453,38162644287
4/2/2022,45868.94922,29336594194
4/3/2022,46453.56641,25414397610
4/4/2022,46622.67578,32499785455
4/5/2022,45555.99219,29640604055
4/6/2022,43206.73828,39393395788
4/7/2022,43503.84766,26101973106
4/8/2022,42287.66406,27215995394
4/9/2022,42782.13672,16050772496
4/10/2022,42207.67188,17654475582
4/11/2022,39521.90234,33949912166
4/12/2022,40127.18359,30991500854
4/13/2022,41166.73047,27691105228
4/14/2022,39935.51563,24342001973
4/15/2022,40553.46484,21756855753
4/16/2022,40424.48438,16833150693
4/17/2022,39716.95313,19087633042
4/18/2022,40826.21484,33705182072
4/19/2022,41502.75,25303206547
4/20/2022,41374.37891,27819532341
4/21/2022,40527.36328,35372786395
4/22/2022,39740.32031,28011716745
4/23/2022,39486.73047,16138021249
4/24/2022,39469.29297,17964398167
4/25/2022,40458.30859,35445730570
4/26/2022,38117.46094,34569088416
4/27/2022,39241.12109,30981015184
4/28/2022,39773.82813,33903704907
4/29/2022,38609.82422,30882994649
4/30/2022,37714.875,23895713731
5/1/2022,38469.09375,27002760110
5/2/2022,38529.32813,32922642426
5/3/2022,37750.45313,27326943244
5/4/2022,39698.37109,36754404490
5/5/2022,36575.14063,43106256317
5/6/2022,36040.92188,37795577489
5/7/2022,35501.95313,24375896406
5/8/2022,34059.26563,36763041910
5/9/2022,30296.95313,63355494961
5/10/2022,31022.90625,59811038817
5/11/2022,28936.35547,70388855818
5/12/2022,29047.75195,66989173272
5/13/2022,29283.10352,42841124537
5/14/2022,30101.26563,28579868620
5/15/2022,31305.11328,25835372065
5/16/2022,29862.91797,32613897286
5/17/2022,30425.85742,29101473475
5/18/2022,28720.27148,31285268319
5/19/2022,30314.33398,33773447707
5/20/2022,29200.74023,30749382605
5/21/2022,29432.22656,17274840442
5/22/2022,30323.72266,21631532270
5/23/2022,29098.91016,31483454557
5/24/2022,29655.58594,26616506245
5/25/2022,29562.36133,27525063551
5/26/2022,29267.22461,36774325352
5/27/2022,28627.57422,36582005748
5/28/2022,28814.90039,35519577634
5/29/2022,29445.95703,18093886409
5/30/2022,31726.39063,39277993274
5/31/2022,31792.31055,33538210634
6/1/2022,29799.08008,41135817341
6/2/2022,30467.48828,29083562061
6/3/2022,29704.39063,26175547452
6/4/2022,29832.91406,16588370958
6/5/2022,29906.66211,17264085441
6/6/2022,31370.67188,31947336829
6/7/2022,31155.47852,40770974039
6/8/2022,30214.35547,30242059107
6/9/2022,30111.99805,21692004719
6/10/2022,29083.80469,29867476527
6/11/2022,28360.81055,27246574439
6/12/2022,26762.64844,34163220274
6/13/2022,22487.38867,68204556440
6/14/2022,22206.79297,50913575242
6/15/2022,22572.83984,54912007015
6/16/2022,20381.65039,31183975654
6/17/2022,20471.48242,27132421514
6/18/2022,19017.64258,42009436760
6/19/2022,20553.27148,35329942625
6/20/2022,20599.53711,30818458597
6/21/2022,20710.59766,28970212744
6/22/2022,19987.0293,28574793478
6/23/2022,21085.87695,26188097173
6/24/2022,21231.65625,24957784918
6/25/2022,21502.33789,18372538715
6/26/2022,21027.29492,18027170497
6/27/2022,20735.47852,20965695707
6/28/2022,20280.63477,21381535161
6/29/2022,20104.02344,23552740328
6/30/2022,19784.72656,26267239923
7/1/2022,19269.36719,30767551159
7/2/2022,19242.25586,18100418740
7/3/2022,19297.07617,16390821947
7/4/2022,20231.26172,21594638208
7/5/2022,20190.11523,26715546990
7/6/2022,20548.24609,24598943708
7/7/2022,21637.58789,25814972520
7/8/2022,21731.11719,49899834488
7/9/2022,21592.20703,29641127858
7/10/2022,20860.44922,28688807249
7/11/2022,19970.55664,24150249025
7/12/2022,19323.91406,25810220018
7/13/2022,20212.07422,33042430345
7/14/2022,20569.91992,31158743333
7/15/2022,20836.32813,25905575359
7/16/2022,21190.31641,24302954056
7/17/2022,20779.34375,22927802083
7/18/2022,22485.68945,39974475562
7/19/2022,23389.43359,48765202697
7/20/2022,23231.73242,42932549127
7/21/2022,23164.62891,33631012204
7/22/2022,22714.97852,31421555646
7/23/2022,22465.47852,24021799169
7/24/2022,22609.16406,23565495303
7/25/2022,21361.70117,35574561406
7/26/2022,21239.75391,28624673855
7/27/2022,22930.54883,31758955233
7/28/2022,23843.88672,40212386158
7/29/2022,23804.63281,35887249746
7/30/2022,23656.20703,28148218301
7/31/2022,23336.89648,23553591896
8/1/2022,23314.19922,25849159141
8/2/2022,22978.11719,28389250717
8/3/2022,22846.50781,26288169966
8/4/2022,22630.95703,25120229769
8/5/2022,23289.31445,28881249043
8/6/2022,22961.2793,15978259885
8/7/2022,23175.89063,15886817043
8/8/2022,23809.48633,28575544847
8/9/2022,23164.31836,23555719219
8/10/2022,23947.64258,32837431722
8/11/2022,23957.5293,37127036580
8/12/2022,24402.81836,27265804688
8/13/2022,24424.06836,22987346289
8/14/2022,24319.33398,22994133555
8/15/2022,24136.97266,35123501685
8/16/2022,23883.29102,27753685646
8/17/2022,23335.99805,30931623076
8/18/2022,23212.73828,23747613147
8/19/2022,20877.55273,40509610260
8/20/2022,21166.06055,27595671000
8/21/2022,21534.12109,23102307723
8/22/2022,21398.9082,31666498758
8/23/2022,21528.08789,31878280659
8/24/2022,21395.01953,31962253368
8/25/2022,21600.9043,31028679593
8/26/2022,20260.01953,42326789564
8/27/2022,20041.73828,30116729776
8/28/2022,19616.81445,24366810591
8/29/2022,20297.99414,32637854078
8/30/2022,19796.80859,34483360283
8/31/2022,20049.76367,33225232872
9/1/2022,20127.14063,30182031010
9/2/2022,19969.77148,29123998928
9/3/2022,19832.08789,23613051457
9/4/2022,19986.71289,25245861652
9/5/2022,19812.37109,28813460025
9/6/2022,18837.66797,43403978910
9/7/2022,19290.32422,35239757134
9/8/2022,19329.83398,32194477850
9/9/2022,21381.15234,48469528171
9/10/2022,21680.53906,36913738894
9/11/2022,21769.25586,34493951963
9/12/2022,22370.44922,50212088965
9/13/2022,20296.70703,51091116622
9/14/2022,20241.08984,37872380889
9/15/2022,19701.21094,36389011503
9/16/2022,19772.58398,30123362273
9/17/2022,20127.57617,24957448100
9/18/2022,19419.50586,31254779144
9/19/2022,19544.12891,40177002624
9/20/2022,18890.78906,36791346508
9/21/2022,18547.40039,46363793975
9/22/2022,19413.55078,41135767926
9/23/2022,19297.63867,38896078052
